INDEX,FLIGHTDATE,FLIGHTNO,DEST,DEST_STATION,DESTOBSERVATIONTIME,STATION,DATE,REPORT_TYPE,DEST_UA_OBS,VIS_METERS
70,20180111,534,LAX,72295023174,2018-01-12 13:53:00+00:00,72295023174,2018-01-12 13:53:00+00:00,FM-15,MET14701/12/18 05:53:02 METAR KLAX 121353Z 00000KT 1/8SM R25L/0800V1000FT FG SCT000 BKN002 12/12 A3017 RMK AO2 SLP216 VIS W 1/4 FG SCT000 T01220122 (RPA),201
67,20180111,1706,LAX,72295023174,2018-01-12 13:53:00+00:00,72295023174,2018-01-12 13:53:00+00:00,FM-15,MET14701/12/18 05:53:02 METAR KLAX 121353Z 00000KT 1/8SM R25L/0800V1000FT FG SCT000 BKN002 12/12 A3017 RMK AO2 SLP216 VIS W 1/4 FG SCT000 T01220122 (RPA),201
80,20180112,1187,LGA,72503014732,2018-01-12 14:51:00+00:00,72503014732,2018-01-12 14:51:00+00:00,FM-15,MET16701/12/18 09:51:02 METAR KLGA 121451Z 18016G24KT 1/8SM R04/5000V6000FT BR OVC003 12/12 A2993 RMK AO2 SFC VIS 3/4 RAB01E04B25E36 SLP136 P0001 60002 T01220117 56021 (PAS),201
79,20180112,1106,SNA,72297793184,2018-01-12 16:53:00+00:00,72297793184,2018-01-12 16:53:00+00:00,FM-15,MET13101/12/18 08:53:02 METAR KSNA 121653Z 00000KT M1/4SM R20R/1400V2000FT FG VV002 12/12 A3020 RMK AO2 TWR VIS 1/4 SLP227 T01170117 (SM),0
77,20180112,265,SNA,72297793184,2018-01-12 17:11:00+00:00,72297793184,2018-01-12 17:11:00+00:00,FM-16,MET12301/12/18 09:11:02 SPECI KSNA 121711Z 00000KT 1/4SM R20R/1000V2800FT FG VV002 12/12 A3021 RMK AO2 TWR VIS 1/4 T01170117 (SM),402
86,20180112,675,GEG,72785024157,2018-01-12 20:53:00+00:00,72785024157,2018-01-12 20:53:00+00:00,FM-15,MET13601/12/18 12:53:02 METAR KGEG 122053Z 00000KT 1/16SM R21/0700V0800FT FG VV002 01/01 A3026 RMK AO2 SFC VIS 1/8 SLP269 T00110011 50001 (DL),0
95,20180112,1254,LGA,72503014732,2018-01-12 21:51:00+00:00,72503014732,2018-01-12 21:51:00+00:00,FM-15,MET12401/12/18 16:51:02 METAR KLGA 122151Z 17009KT 1/4SM R04/P6000FT BR OVC003 13/12 A2973 RMK AO2 SFC VIS 1 SLP069 T01280122 (WL),402
89,20180112,303,LGA,72503014732,2018-01-12 21:51:00+00:00,72503014732,2018-01-12 21:51:00+00:00,FM-15,MET12401/12/18 16:51:02 METAR KLGA 122151Z 17009KT 1/4SM R04/P6000FT BR OVC003 13/12 A2973 RMK AO2 SFC VIS 1 SLP069 T01280122 (WL),402
91,20180112,1741,LGA,72503014732,2018-01-12 21:51:00+00:00,72503014732,2018-01-12 21:51:00+00:00,FM-15,MET12401/12/18 16:51:02 METAR KLGA 122151Z 17009KT 1/4SM R04/P6000FT BR OVC003 13/12 A2973 RMK AO2 SFC VIS 1 SLP069 T01280122 (WL),402
85,20180112,1850,CLE,72524014820,2018-01-12 22:07:00+00:00,72524014820,2018-01-12 22:07:00+00:00,FM-16,MET12801/12/18 17:07:02 SPECI KCLE 122207Z 35020G26KT 1/4SM SN FZFG VV009 M04/M05 A2997 RMK AO2 PK WND 35026/2205 P0002 T10391050 (AP),402
